"","year","payroll_DB_legacy_est","payroll_DB_new_est","payroll_CB_new_est","payroll_est","nc_rate_DB_legacy_est","nc_rate_DB_new_est","nc_rate_CB_new_est","PVFB_DB_legacy_est","PVFB_DB_new_est","PVFB_CB_new_est","PVFNC_DB_legacy_est","PVFNC_DB_new_est","PVFNC_CB_new_est","n.active","nc_rate_est","AAL_active_DB_legacy_est","AAL_active_DB_new_est","AAL_active_CB_new_est","AAL_term_DB_legacy_est","AAL_term_DB_new_est","AAL_term_CB_new_est","refund_DB_legacy_est","refund_DB_new_est","refund_CB_new_est","retire_ben_DB_legacy_est","retire_ben_DB_new_est","retire_ben_CB_new_est","AAL_retire_DB_legacy_est","AAL_retire_DB_new_est","AAL_retire_CB_new_est","retire_ben_current_est","AAL_retire_current_est","retire_ben_term_est","AAL_term_current_est","AAL_legacy_est","AAL_new_est","AAL_est","tot_ben_refund_legacy_est","tot_ben_refund_new_est","tot_ben_refund_est","liability_gain_loss_legacy_est","liability_gain_loss_new_est","liability_gain_loss_est","AAL_legacy_roll","AAL_new_roll","AAL_roll"
"33",2054,11810494129.7152,110725700896.733,0,122536195026.448,0.0937025807720133,0.119795133126929,0,99142529294.0082,361567248075.286,0,5000656961.95612,127897674407.247,0,927667,0.117280235905332,94141872332.0521,233669573668.039,0,226237854.013715,4844203801.03627,0,0,1598488431.59953,0,28286701620.3269,6290630543.08779,0,234309161938.231,60388822370.6906,0,1712261785.7486,6263710796.75796,1670610622.71457,21175509153.4047,356116492074.46,298902599839.765,655019091914.225,31669574028.7901,7889118974.68732,39558693003.4774,0,0,0,356116492074.46,298902599839.765,655019091914.226
"34",2055,10648220142.5894,115377860877.74,0,126026081020.33,0.0930709987682972,0.11965431069879,0,91278012750.0438,383124793047.258,0,4244029169.14603,132604962816.26,0,927667,0.117408228338192,87033983580.8977,250519830230.998,0,0,5072185298.13706,0,0,1649753532.25897,0,28835453522.1304,7167191070.51059,0,236921917850.117,68681221776.1412,0,1484484553.1342,5217685999.39681,1719058330.77329,20938736463.3697,350112323893.781,324273237305.276,674385561199.058,32038996406.0379,8816944602.76956,40855941008.8074,0,0,0,350112323893.782,324273237305.276,674385561199.058
"35",2056,9307710843.96107,120239159026.218,0,129546869870.179,0.0917891212390705,0.119540157188329,0,81498192752.1939,405233267161.528,0,3550070727.21075,137562458487.62,0,927667,0.117546294901306,77948122024.9831,267670808673.908,0,0,5265864964.9554,0,0,1698923678.37198,0,29491946974.6105,8148262046.91952,0,240183786015.368,77993962965.7175,0,1276579086.60884,4306344932.74575,1768911022.36572,20635536993.4399,343073789966.536,350930636604.581,694004426571.117,32537437083.585,9847185725.2915,42384622808.8765,0,0,0,343073789966.537,350930636604.581,694004426571.118
"36",2057,8476346824.17074,124829379498.942,0,133305726323.113,0.0912435487546633,0.119419382812045,0,76025014341.8527,427325724200.425,0,2944229079.00095,142192731792.359,0,927667,0.117627800798893,73080785262.8518,285132992408.066,0,0,5499485161.62828,0,0,1753763817.08379,0,29631258068.4407,9230266993.02508,0,238543444870.998,88252680757.2852,0,1088359686.81913,3519429391.21882,1820209442.01432,20259815140.9663,335403474666.034,378885158326.979,714288632993.013,32539827197.2742,10984030810.1089,43523858007.383,0,0,0,335403474666.035,378885158326.979,714288632993.014
"37",2058,7086660371.47804,129980857483.5,0,137067517854.978,0.0908916827151047,0.119340831249258,0,64466152994.2306,450564157124.25,0,2376913149.81836,147457389476.853,0,927667,0.1178699542926,62089239844.4123,303106767647.397,0,0,5666861384.22018,0,0,1801994961.32465,0,30192474018.8542,10401994315.3349,0,241929624344.665,99336548558.1662,0,919404103.355178,2846385345.24896,1872995515.83274,19805006685.0012,326670256219.327,408110177589.783,734780433809.11,32984873638.0421,12203989276.6595,45188862914.7016,0,0,0,326670256219.328,408110177589.782,734780433809.11
"38",2059,5927599745.85708,135068408728.638,0,140996008474.495,0.090516271494359,0.119261764177284,0,54740257336.4891,474034598994.406,0,1899178584.31156,152657847104.547,0,927667,0.118053277660783,52841078752.1776,321376751889.859,0,0,5813348615.0851,0,0,1850940086.42752,0,30502217309.4954,11687090424.1276,0,242601007106.634,111461782584.14,0,769088071.144691,2276544248.2717,1927312385.79189,19264044767.1594,316982674874.243,438651883089.084,755634557963.327,33198617766.432,13538030510.5551,46736648276.9871,0,0,0,316982674874.243,438651883089.084,755634557963.327
"39",2060,4965120592.94967,140112006588.477,0,145077127181.427,0.0901080030403841,0.119184989177601,0,46617303075.8693,498023642968.062,0,1495576857.30747,157767458452.868,0,927667,0.118189858205161,45121726218.5619,340256184515.194,0,0,5984987755.23557,0,0,1907867425.10067,0,30590036371.9542,13052838175.3205,0,240947813506.318,124264133744.065,0,636686348.676711,1799215996.97401,1983204444.97985,18629323455.8807,306498079177.735,470505306014.495,777003385192.23,33209927165.6108,14960705600.4211,48170632766.0319,0,0,0,306498079177.735,470505306014.495,777003385192.23
"40",2061,3803978352.68259,145380689881.648,0,149184668234.33,0.0887262098614949,0.119150895073775,0,36222853762.9331,522029453508.327,0,1152870135.83361,163209814148.285,0,927667,0.118375112647172,35069983627.0995,358819639360.042,0,0,6118097866.81686,0,0,1962599422.60222,0,30842892765.6955,14579434632.3759,0,240628928214.312,138660154142.573,0,521245709.821392,1403915406.9408,2040717373.88427,17892658723.9081,294995485972.26,503597891369.431,798593377341.692,33404855849.4012,16542034054.9781,49946889904.3793,0,0,0,294995485972.261,503597891369.431,798593377341.692
"41",2062,3164398758.18151,150364401186.08,0,153528799944.261,0.0882622233006,0.119123743919377,0,30644259719.7434,545403208102.679,0,896058463.713267,168385154444.72,0,927667,0.118487653768492,29748201256.0301,377018053657.959,0,0,6308934211.48187,0,0,2024888537.72497,0,30526168639.5713,16263025426.5681,0,235060978356.338,154557081257.398,0,421698545.966013,1080490939.46064,2099898177.72691,17045246656.8548,282934917208.683,537884069126.839,820818986335.522,33047765363.2642,18287913964.293,51335679327.5572,0,0,0,282934917208.684,537884069126.839,820818986335.523
"42",2063,2521294471.53755,155503057251.32,0,158024351722.857,0.0881049445453105,0.119126221951334,0,24701038150.7971,568913133354.619,0,679485686.366438,173773522409.684,0,927667,0.118631274341227,24021552464.4306,395139610944.935,0,0,6478724387.70407,0,0,2081228041.52682,0,30172943914.9548,18078650477.0304,0,229430622675.654,171669710536.003,0,336773932.377641,819351372.845243,2160795224.88099,16077618697.9536,270349145210.884,573288045868.643,843637191079.526,32670513072.2134,20159878518.5572,52830391590.7706,0,0,0,270349145210.885,573288045868.642,843637191079.527
"43",2064,2004587355.92562,160631844447.555,0,162636431803.481,0.0879653563926738,0.119143914155298,0,19887659519.0639,591987129827.257,0,504911174.814876,179241496379.842,0,927667,0.118759620538094,19382748344.249,412745633447.415,0,0,6640634262.20762,0,0,2136958403.00657,0,29663803409.6271,20064137068.6133,0,222369414155.612,190355337610.436,0,265163047.791547,611542921.152862,2223458286.40254,14979593720.4078,257343299141.422,609741605320.059,867084904461.48,32152424743.8212,22201095471.6198,54353520215.441,0,0,0,257343299141.423,609741605320.059,867084904461.482
"44",2065,1589599192.36075,165789397817.8,0,167378997010.161,0.087845487160592,0.119173878882802,0,15996711537.3859,615137292491.995,0,363920715.867672,184762179476.334,0,927667,0.118876352986069,15632790821.5182,430375113015.661,0,0,6833961924.8673,0,0,2199409582.03825,0,29025775904.9524,22163532652.8092,0,214192581389.566,209989807202.553,0,205600310.160556,448750615.473007,2287938576.70822,13740226704.1282,244014349530.685,647198882143.082,891213231673.767,31519314791.8212,24362942234.8474,55882257026.6686,0,0,0,244014349530.685,647198882143.082,891213231673.768
"45",2066,989081496.391648,171206148242.17,0,172195229738.562,0.0861532411984547,0.119235771102595,0,10021907012.1765,638349478817.189,0,249756050.535395,190652807700.822,0,927667,0.119045746569211,9772150961.6411,447696671116.367,0,0,7003583901.7498,0,0,2260019997.70384,0,28566414718.929,24404611236.6432,0,207714221700.732,230895683256.225,0,156793694.824711,323369463.731407,2354288795.43275,12347753777.9844,230157495904.089,685595938274.341,915753434178.431,31077497209.1864,26664631234.3471,57742128443.5335,0,0,0,230157495904.09,685595938274.342,915753434178.432
"46",2067,767782472.380203,176460688357.942,0,177228470830.323,0.0861287482543757,0.119303248568761,0,7852060636.78192,661048501663.796,0,182026397.349315,196429540941.146,0,927667,0.119159531254314,7670034239.4326,464618960722.65,0,0,7237124117.02114,0,0,2330063354.05427,0,27664916546.3209,26787077576.8035,0,197460680539.71,253028325286.178,0,117470670.736605,228534655.456,2422563170.5003,10789533371.943,216148782806.541,724884410125.849,941033192932.39,30204950387.5578,29117140930.8577,59322091318.4156,0,0,0,216148782806.542,724884410125.849,941033192932.391
"47",2068,596022513.401218,181800450927.999,0,182396473441.4,0.0861041933661705,0.11938696793291,0,6165156875.66779,683848292428.027,0,128640101.88601,202334879786.245,0,927667,0.119278208796421,6036516773.78178,481513412641.782,0,0,7421812920.46653,0,0,2396792697.83185,0,26693872239.07,29281175113.028,0,186825603944.109,276065458827.331,0,86337833.6431607,158194247.694759,2492817502.44481,9051983205.53419,202072298171.119,765000684389.58,967072982560.7,29273027575.158,31677967810.8598,60950995386.0178,0,0,0,202072298171.12,765000684389.581,967072982560.7
"48",2069,462706431.555379,187233222787.165,0,187695929218.721,0.086079578460487,0.119484131580998,0,4856899426.96152,706333718845.171,0,86324871.2735414,208447309600.201,0,927667,0.119401782956622,4770574555.68797,497886409244.97,0,0,7622971525.02359,0,0,2464714631.74371,0,25668127301.3136,31924549802.389,0,175975087348.885,300356691697.854,0,62154714.4395644,107113130.593828,2565109210.01571,7120512819.90587,187973287855.073,805866072467.848,993839360322.921,28295391225.7689,34389264434.1327,62684655659.9016,0,0,0,187973287855.074,805866072467.848,993839360322.922
"49",2070,359225247.380275,192792386956.485,0,193151612203.866,0.0860549054839568,0.119589616786291,0,3845263244.33356,729136385964.9,0,52538037.6834461,214722940227.071,0,927667,0.119527248603981,3792725206.65011,514413445737.829,0,0,7862959459.50649,0,0,2539362995.43061,0,24602098602.1748,34650786570.4255,0,165042864003.648,325181541805.241,0,43757587.2554987,70853462.4798972,2639497377.10617,4979451340.19312,173885894012.971,847457947002.577,1021343841015.55,27285353566.5365,37190149565.8562,64475503132.3926,0,0,0,173885894012.972,847457947002.577,1021343841015.55
"50",2071,114900954.032021,198618165580.184,0,198733066534.216,0.0815530425502538,0.119707615250196,0,1238852598.978,752445655032.022,0,25302605.6105267,221345796717.663,0,927667.000000001,0.119685555525157,1213549993.36748,531099858314.359,0,0,8093478685.73426,0,0,2611373319.00622,0,23691078164.2324,37460888191.8897,0,155780365392.13,350570372457.209,0,30091903.3313443,45721301.5221458,2716042801.04225,2611970132.96439,159651606819.984,889763709457.302,1049415316277.29,26437212868.6059,40072261510.8959,66509474379.5019,0,0,0,159651606819.984,889763709457.302,1049415316277.29
"51",2072,88717899.1319743,204424873537.211,0,204513591436.343,0.0815530425502538,0.119822734721841,0,966492097.687061,775836177507.363,0,17703265.6100254,227992931838.889,0,927667,0.119806133347497,948788832.077035,547843245668.475,0,0,8389572949.09672,0,0,2693023700.0635,0,22519953731.2048,40358696453.4742,0,144524117421.593,376538737295.176,0,20181297.8656732,28740494.7630228,2794808042.27247,-0.000574588775634766,145501646748.433,932771555912.748,1078273202661.18,25334943071.3429,43051720153.5377,68386663224.8806,0,0,0,145501646748.434,932771555912.748,1078273202661.18
"52",2073,68501307.8672757,210390772862.824,0,210459274170.692,0.0815530425502538,0.119942194889195,0,756872980.084184,799871117936.751,0,11707279.5998482,234821931170.875,0,927667.000000001,0.119929699801233,745165700.484336,565049186765.876,0,0,8614212241.86242,0,0,2772378053.23981,0,21342706730.9654,43316012257.1015,0,133575372474.581,402808522900.956,0,13175822.4617658,17576506.9346685,0,-0.000614809989929199,134338114681.999,976471921908.694,1110810036590.69,21355882553.4272,46088390310.3413,67444272863.7684,0,0,0,134338114682,976471921908.695,1110810036590.69
"53",2074,52891572.3370202,216511245928.704,0,216564137501.041,0.0815530425502538,0.120066377565786,0,596049995.853437,824078970341.756,0,6940299.09658958,241899905294.129,0,927667.000000001,0.120056971433874,589109696.756848,582179065047.626,0,0,8871480914.5624,0,0,2853947275.70629,0,20164773661.5141,46376062814.7621,0,122974678979.124,429779131471.249,0,8358239.15600218,10448623.2640931,0,-0.000657846689224243,123574237299.144,1020829677433.44,1144403914732.58,20173131900.6701,49230010090.4684,69403141991.1385,0,0,0,123574237299.145,1020829677433.44,1144403914732.58
"54",2075,40838905.2907217,222813358558.193,0,222854197463.483,0.0815530425502538,0.120189812632279,0,473149082.640503,849143336001.05,0,3112651.38400001,249168665458.892,0,927667.000000001,0.120182732292702,470036431.256503,599974670542.158,0,0,9170422437.22801,0,0,2941831145.82064,0,18993496181.2822,49468244698.8924,0,112754034739.303,456728307030.59,0,5148226.50316053,6031800.38941913,0,-0.00070389595746994,113230102970.948,1065873400009.98,1179103502980.92,18998644407.7854,52410075844.713,71408720252.4984,0,0,0,113230102970.949,1065873400009.98,1179103502980.93
"55",2076,0,229329173518.588,0,229329173518.588,0,0.120315771128416,0,0,874899810294.246,0,0,256708444291.662,0,927667,0.120315771128416,0,618191366002.583,0,0,9458086099.91833,0,0,3025701656.96832,0,17871274795.089,52616699417.714,0,103281811894.391,483972580650.576,0,3074175.92888895,3379850.48778952,0,-0.000753168674492836,103285191744.878,1111622032753.08,1214907224497.95,17874348971.0179,55642401074.6823,73516750045.7002,0,0,0,103285191744.879,1111622032753.07,1214907224497.95
"56",2077,0,235982345577.737,0,235982345577.737,0,0.120438720130174,0,0,901213742023.346,0,0,264438292068.337,0,927667.000000001,0.120438720130174,0,636775449955.009,0,0,9809235072.04485,0,0,3117379998.01165,0,16709639606.0134,55823055706.9009,0,93801899120.9847,511502370667.952,0,1777044.63059297,1839395.39134181,0,-0.000805890481707335,93803738516.3753,1158087055695.01,1251890794211.38,16711416650.644,58940435704.9126,75651852355.5565,0,0,0,93803738516.3762,1158087055695.01,1251890794211.38
"57",2078,0,242835446493.27,0,242835446493.27,0,0.120560409351115,0,0,928540210323.474,0,0,272374893646.025,0,927667.000000001,0.120560409351115,0,656165316677.45,0,0,10079948356.3533,0,0,3207953478.2175,0,15565164973.6763,59059232354.8667,0,84802867085.7774,539062110401.468,0,993457.349370733,974695.719365003,0,-0.000862302815426848,84803841781.4959,1205307375435.27,1290111217216.77,15566158431.0257,62267185833.0842,77833344264.1099,0,0,0,84803841781.4968,1205307375435.27,1290111217216.77
"58",2079,0,249884899209.124,0,249884899209.124,0,0.120681289027884,0,0,956528527183.341,0,0,280568857595.99,0,927667,0.120681289027884,0,675959669587.351,0,0,10382943864.3562,0,0,3301007889.9472,0,14441542894.4843,62356728793.59,0,76297524887.2973,566954882414.685,0,539674.219095451,503250.200625103,0,-0.000922664012506728,76298028137.497,1253297495866.39,1329595524003.89,14442082568.7034,65657736683.5372,80099819252.2406,0,0,0,76298028137.4982,1253297495866.39,1329595524003.89
"59",2080,0,257148444769.295,0,257148444769.295,0,0.120798604209048,0,0,985676179851.017,0,0,288972307112.618,0,927667,0.120798604209048,0,696703872738.399,0,0,10724532532.213,0,0,3399978660.87237,0,13345856751.7623,65667692858.3197,0,68292494877.6458,594688675532.398,0,285220.164941668,253257.549727192,0,-0.000987250493382199,68292748135.1945,1302117080803.01,1370409828938.2,13346141971.9272,69067671519.192,82413813491.1193,0,0,0,68292748135.1959,1302117080803.01,1370409828938.2
"60",2081,0,264616528501.434,0,264616528501.434,0,0.120916490493746,0,0,1015598710064.67,0,0,297633701010.347,0,927667.000000001,0.120916490493746,0,717965009054.328,0,0,11048574145.4498,0,0,3495354475.05629,0,12281434932.9939,69032724234.0195,0,60791534586.0872,622786787753.025,0,146864.91462314,124120.663584955,0,-0.00105635802791895,60791658706.7497,1351800370952.8,1412592029659.55,12281581797.9085,72528078709.0758,84809660506.9843,0,0,0,60791658706.7511,1351800370952.8,1412592029659.55
"61",2082,0,272298010719.999,0,272298010719.999,0,0.121032636843221,0,0,1046336409378.97,0,0,306562967015.033,0,927667,0.121032636843221,0,739773442363.933,0,0,11430722509.0115,0,0,3597067657.18833,0,11245428098.6699,72447544674.64,0,53801513908.4434,651174121667.759,0,73631.7593031839,59177.3507327179,0,-0.00113030308987328,53801573085.793,1402378286540.7,1456179859626.5,11245501730.4292,76044612331.8283,87290114062.2576,0,0,0,53801573085.7945,1402378286540.7,1456179859626.5
"62",2083,0,280209978730.284,0,280209978730.284,0,0.121146284561234,0,0,1078302428239.56,0,0,315723473890.039,0,927667,0.121146284561234,0,762578954349.526,0,0,11745969563.5529,0,0,3699829559.96681,0,10243266802.1904,75882949824.4088,0,47324353079.8441,679594009545.7,0,35995.5090841191,27324.2561998891,0,-0.00120942430616441,47324380404.0991,1453918933458.78,1501243313862.88,10243302797.6995,79582779384.3756,89826082182.075,0,0,0,47324380404.1006,1453918933458.78,1501243313862.88
"63",2084,0,288344946385.117,0,288344946385.117,0,0.1212579684024,0,0,1111152608554.24,0,0,325161440576.654,0,927667,0.1212579684024,0,785991167977.585,0,0,12085832536.553,0,0,3804928906.73504,0,9278242714.24111,79371295155.8758,0,41358815081.1921,708386432044.31,0,17485.0339875915,11751.9201462898,0,-0.00129408400759592,41358826833.1109,1506463432558.45,1547822259391.56,9278260199.2751,83176224062.6108,92454484261.8859,0,0,0,41358826833.1126,1506463432558.44,1547822259391.55
"64",2085,0,296722954340.085,0,296722954340.085,0,0.121366212374977,0,0,1145305193551.79,0,0,334841815414.52,0,927667,0.121366212374977,0,810463378137.267,0,0,12459164268.6265,0,0,3916005578.81702,0,8357891686.07287,82875500297.6428,0,35896040450.8026,737165946952.937,0,8209.40738347791,4365.14717305221,0,-0.00138466988812763,35896044815.9484,1560088489358.83,1595984534174.78,8357899895.48025,86791505876.4599,95149405771.9401,0,0,0,35896044815.9502,1560088489358.83,1595984534174.78
"65",2086,0,305335987969.044,0,305335987969.044,0,0.12147635005906,0,0,1180307202928.06,0,0,344820000682.263,0,927667.000000001,0.12147635005906,0,835487202245.794,0,0,12812562491.4466,0,0,4025302658.24105,0,7484625758.31965,86442787074.5481,0,30924137524.0391,766538970236.887,0,3550.36746599478,1120.34000917109,0,-0.00148159678029657,30924138644.3777,1614838734974.13,1645762873618.5,7484629308.68712,90468089732.7891,97952719041.4762,0,0,0,30924138644.3796,1614838734974.13,1645762873618.51
"66",2087,0,314193825263.578,0,314193825263.578,0,0.121586314253106,0,0,1216222423011.52,0,0,355105527020.485,0,927667.000000001,0.121586314253106,0,861116895991.031,0,0,13219211036.868,0,0,4140682109.64553,0,6655763908.08676,90067559490.6343,0,26433063242.6351,796424199154.299,0,1198.76380981307,0,0,-0.00158530855491733,26433063242.6335,1670760306182.2,1697193369424.83,6655765106.85057,94208241600.2798,100864006707.13,0,0,0,26433063242.6356,1670760306182.19,1697193369424.83
"67",2088,0,323313206474.95,0,323313206474.95,0,0.121694826639457,0,0,1253434603657.96,0,0,365668874381.292,0,927667.000000001,0.121694826639457,0,887765729276.666,0,0,13589887014.8216,0,0,4259249033.03517,0,5875636914.13148,93722370562.0883,0,22407740755.4881,826577960903.224,0,0,0,0,-0.00169628015376154,22407740755.4864,1727933577194.71,1750341317950.2,5875636914.13148,97981619595.1235,103857256509.255,0,0,0,22407740755.4886,1727933577194.71,1750341317950.19
"68",2089,0,332687141594.54,0,332687141594.54,0,0.121803738134922,0,0,1291528698062.88,0,0,376565803782.905,0,927667.000000001,0.121803738134922,0,914962894279.975,0,0,13978277567.6654,0,0,4380083471.77383,0,5145816379.28179,97450208310.5188,0,18830466229.0905,857463008580.62,0,0,0,0,-0.00181501976452485,18830466229.0887,1786404180428.26,1805234646657.35,5145816379.28179,101830291782.293,106976108161.574,0,0,0,18830466229.091,1786404180428.26,1805234646657.35
"69",2090,0,342338180515.489,0,342338180515.489,0,0.121910246623404,0,0,1330989781167.46,0,0,387760510266.743,0,927667.000000001,0.121910246623404,0,943229270900.718,0,0,14393932775.2114,0,0,4507025556.48931,0,4472407736.07221,101208090758.453,0,15676191129.0546,888636690543.008,0,0,0,0,-0.00194207114804159,15676191129.0527,1846259894218.94,1861936085347.99,4472407736.07221,105715116314.943,110187524051.015,0,0,0,15676191129.0552,1846259894218.93,1861936085347.99
"70",2091,0,352263241103.348,0,352263241103.348,0,0.122019091964575,0,0,1371431761018.2,0,0,399302954554.93,0,927667.000000001,0.122019091964575,0,972128806463.273,0,0,14792711691.5674,0,0,4635333749.90108,0,3855283983.60805,105038537503.63,0,12918240524.4804,920637229421.14,0,0,0,0,-0.0020780161284045,12918240524.4784,1907558747575.98,1920476988100.46,3855283983.60805,109673871253.531,113529155237.139,0,0,0,12918240524.481,1907558747575.98,1920476988100.46
